,整车费率,,,,,,,,,,,,,,,
,费率由运输部（MOT）审定。所报费率不得以捆绑中标为条件。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,目的地,,,,,,,,,,,,,,,
,SHDR DC1（主配送中心）：上海临港新城普洛斯临港物流园洋浩路575号，中国上海市浦东新区,,,,,,,,,,,,,,,
,TDSC 配送中心：上海市奉贤区航塘公路3088号C栋3楼迪士尼商店仓库，开瑞益上海配送中心C3，上海市奉贤区航塘公路3088号,,,,,,,,,,,,,,,
,币种：人民币,不含增值税,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,SHDR DC1/TDSC DC,,,,,,,SHDR DC1/TDSC DC,,,,
,出发省份,出发城市,车型,温度类型,运输天数（不含提货日）,费率（人民币）不含增值税,出发省份,出发城市,车型,温度类型,,运输天数（不含提货日）,费率（人民币）不含增值税,,附加费说明,每次附加费（人民币）
,广东,河源,26T,干货,3,8200,Guangdong,Heyuan,26T,DRY,GuangdongHeyuan26TDRY,,,,,
,广东,河源,3T,干货,3,3120,Guangdong,Heyuan,3T,DRY,GuangdongHeyuan3TDRY,,,,,
,广东,河源,DG_5T,危险品,,,Guangdong,Heyuan,DG_5T,HAZMAT,GuangdongHeyuanDG_5THAZMAT,,,,,
,广东,惠州,DG_10T,危险品,,,Guangdong,Huizhou,DG_10T,HAZMAT,GuangdongHuizhouDG_10THAZMAT,,,,,
,广东,惠州,12T,干货,3,5280,Guangdong,Huizhou,12T,DRY,GuangdongHuizhou12TDRY,,,,,
,广东,惠州,15T,干货,3,6960,Guangdong,Huizhou,15T,DRY,GuangdongHuizhou15TDRY,,,,,
,广东,惠州,26T,干货,3,8100,Guangdong,Huizhou,26T,DRY,GuangdongHuizhou26TDRY,,,,,
,广东,惠州,3T,干货,3,3240,Guangdong,Huizhou,3T,DRY,GuangdongHuizhou3TDRY,,,,,
,广东,惠州,5T,干货,3,4320,Guangdong,Huizhou,5T,DRY,GuangdongHuizhou5TDRY,,,,,
,广东,惠州,8T,干货,3,5040,Guangdong,Huizhou,8T,DRY,GuangdongHuizhou8TDRY,,,,,
,广东,惠州,40尺高柜,干货 - 自备箱,3,8100,Guangdong,Huizhou,40'HQ,DRY - SOC,GuangdongHuizhou40'HQDRY - SOC,,,,,
,广东,江门,3T,干货,3,3600,Guangdong,Jiangmen,3T,DRY,GuangdongJiangmen3TDRY,,,,,
,广东,汕头,10T,干货,3,4800,Guangdong,Shantou,10T,DRY,GuangdongShantou10TDRY,,,,,
,广东,汕头,3T,干货,3,3120,Guangdong,Shantou,3T,DRY,GuangdongShantou3TDRY,,,,,
,广东,汕头,5T,干货,3,3960,Guangdong,Shantou,5T,DRY,GuangdongShantou5TDRY,,,,,
,广东,汕头,REF_3T,冷藏,,,Guangdong,Shantou,REF_3T,REEFER,GuangdongShantouREF_3TREEFER,,,,,
,广东,汕头,REF_5T,冷藏,,,Guangdong,Shantou,REF_5T,REEFER,GuangdongShantouREF_5TREEFER,,,,,
,广东,汕头,40尺高柜,干货 - 自备箱,3,8300,Guangdong,Shantou,40'HQ,DRY - SOC,GuangdongShantou40'HQDRY - SOC,,,,,
,广东,深圳,10T,干货,3,5640,Guangdong,Shenzhen,10T,DRY,GuangdongShenzhen10TDRY,,,,,
,广东,深圳,12T,干货,3,5640,Guangdong,Shenzhen,12T,DRY,GuangdongShenzhen12TDRY,,,,,
,广东,深圳,15T,干货,3,7440,Guangdong,Shenzhen,15T,DRY,GuangdongShenzhen15TDRY,,,,,
,广东,深圳,25T,干货,3,8400,Guangdong,Shenzhen,25T,DRY,GuangdongShenzhen25TDRY,,,,,
,广东,深圳,26T,干货,3,8400,Guangdong,Shenzhen,26T,DRY,GuangdongShenzhen26TDRY,,,,,
,广东,深圳,3T,干货,3,3420,Guangdong,Shenzhen,3T,DRY,GuangdongShenzhen3TDRY,,,,,
,广东,深圳,5T,干货,3,4512,Guangdong,Shenzhen,5T,DRY,GuangdongShenzhen5TDRY,,,,,
,广东,深圳,8T,干货,3,5400,Guangdong,Shenzhen,8T,DRY,GuangdongShenzhen8TDRY,,,,,
,广东,深圳,40尺高柜,干货 - 自备箱,3,8400,Guangdong,Shenzhen,40'HQ,DRY - SOC,GuangdongShenzhen40'HQDRY - SOC,,,,,
,广东,肇庆,5T,干货,3,5040,Guangdong,Zhaoqing,5T,DRY,GuangdongZhaoqing5TDRY,,,,,
,广东,中山,10T,干货,3,6000,Guangdong,Zhongshan,10T,DRY,GuangdongZhongshan10TDRY,,,,,
,广东,中山,12T,干货,3,6000,Guangdong,Zhongshan,12T,DRY,GuangdongZhongshan12TDRY,,,,,
,广东,中山,15T,干货,3,7680,Guangdong,Zhongshan,15T,DRY,GuangdongZhongshan15TDRY,,,,,
,广东,中山,26T,干货,3,8400,Guangdong,Zhongshan,26T,DRY,GuangdongZhongshan26TDRY,,,,,
,广东,中山,3T,干货,3,3696,Guangdong,Zhongshan,3T,DRY,GuangdongZhongshan3TDRY,,,,,
,广东,中山,40尺高柜,干货 - 自备箱,3,8400,Guangdong,Zhongshan,40'HQ,DRY - SOC,GuangdongZhongshan40'HQDRY - SOC,,,,,
,广东,珠海,3T,干货,3,3816,Guangdong,Zhuhai,3T,DRY,GuangdongZhuhai3TDRY,,,,,
,广东,珠海,40尺高柜,干货 - 自备箱,3,9000,Guangdong,Zhuhai,40'HQ,DRY - SOC,GuangdongZhuhai40'HQDRY - SOC,,,,,
,广西,河池,26T,干货,4,11700,Guangxi,Hechi,26T,DRY,GuangxiHechi26TDRY,,,,,
,广西,河池,5T,干货,4,6300,Guangxi,Hechi,5T,DRY,GuangxiHechi5TDRY,,,,,
,广西,浦北,10T,干货,4,7440,Guangxi,Pubei,10T,DRY,GuangxiPubei10TDRY,,,,,
,广西,浦北,12T,干货,4,7440,Guangxi,Pubei,12T,DRY,GuangxiPubei12TDRY,,,,,
,广西,浦北,15T,干货,4,10200,Guangxi,Pubei,15T,DRY,GuangxiPubei15TDRY,,,,,
,广西,浦北,26T,干货,4,10800,Guangxi,Pubei,26T,DRY,GuangxiPubei26TDRY,,,,,
,广西,浦北,40尺高柜,干货 - 自备箱,4,10920,Guangxi,Pubei,40'HQ,DRY - SOC,GuangxiPubei40'HQDRY - SOC,,,,,
,广西,浦北,45尺高柜,干货 - 自备箱,4,10920,Guangxi,Pubei,45'HQ,DRY - SOC,GuangxiPubei45'HQDRY - SOC,,,,,
,广西,钦州,10T,干货,4,8640,Guangxi,Qinzhou,10T,DRY,GuangxiQinzhou10TDRY,,,,,
,广西,钦州,12T,干货,4,8640,Guangxi,Qinzhou,12T,DRY,GuangxiQinzhou12TDRY,,,,,
,广西,钦州,15T,干货,4,11640,Guangxi,Qinzhou,15T,DRY,GuangxiQinzhou15TDRY,,,,,
,广西,钦州,26T,干货,4,10800,Guangxi,Qinzhou,26T,DRY,GuangxiQinzhou26TDRY,,,,,
,广西,钦州,5T,干货,4,6360,Guangxi,Qinzhou,5T,DRY,GuangxiQinzhou5TDRY,,,,,
,广西,钦州,8T,干货,4,7560,Guangxi,Qinzhou,8T,DRY,GuangxiQinzhou8TDRY,,,,,
,广西,钦州,40尺高柜,干货 - 自备箱,4,11520,Guangxi,Qinzhou,40'HQ,DRY - SOC,GuangxiQinzhou40'HQDRY - SOC,,,,,
,广西,钦州,45尺高柜,干货 - 自备箱,4,11520,Guangxi,Qinzhou,45'HQ,DRY - SOC,GuangxiQinzhou45'HQDRY - SOC,,,,,
,河北,河间,15T,干货,2,9300,Hebei,Hejian,15T,DRY,HebeiHejian15TDRY,,,,,
,河北,河间,40尺高柜,干货 - 自备箱,2,9720,Hebei,Hejian,40'HQ,DRY - SOC,HebeiHejian40'HQDRY - SOC,,,,,
,湖南,郴州,10T,干货,3,5160,Hunan,Chenzhou,10T,DRY,HunanChenzhou10TDRY,,,,,
,湖南,郴州,12T,干货,3,5160,Hunan,Chenzhou,12T,DRY,HunanChenzhou12TDRY,,,,,
,湖南,郴州,15T,干货,3,8160,Hunan,Chenzhou,15T,DRY,HunanChenzhou15TDRY,,,,,
,湖南,郴州,26T,干货,3,8400,Hunan,Chenzhou,26T,DRY,HunanChenzhou26TDRY,,,,,
,湖南,郴州,8T,干货,3,4800,Hunan,Chenzhou,8T,DRY,HunanChenzhou8TDRY,,,,,
,湖南,郴州,40尺高柜,干货 - 自备箱,3,8820,Hunan,Chenzhou,40'HQ,DRY - SOC,HunanChenzhou40'HQDRY - SOC,,,,,
,湖南,资兴,12T,干货,3,5160,Hunan,Zixing,12T,DRY,HunanZixing12TDRY,,,,,
,湖南,资兴,8T,干货,3,4800,Hunan,Zixing,8T,DRY,HunanZixing8TDRY,,,,,
,江苏,常州,3T,干货,1,960,Jiangsu,Changzhou,3T,DRY,JiangsuChangzhou3TDRY,,,,,
,江苏,连云港,10T,干货,1,3300,Jiangsu,Lianyungang,10T,DRY,JiangsuLianyungang10TDRY,,,,,
,江苏,连云港,25T,干货,1,5640,Jiangsu,Lianyungang,25T,DRY,JiangsuLianyungang25TDRY,,,,,
,江苏,连云港,5T,干货,1,3060,Jiangsu,Lianyungang,5T,DRY,JiangsuLianyungang5TDRY,,,,,
,江苏,连云港,8T,干货,1,3060,Jiangsu,Lianyungang,8T,DRY,JiangsuLianyungang8TDRY,,,,,
,江苏,宿迁,10T,干货,1,3420,Jiangsu,Suqian,10T,DRY,JiangsuSuqian10TDRY,,,,,
