(不含提货日)",價格,比對結果,I-L欄,(I-L)/I,AR,,Accessorial Description,Accessorial Charge per Occurrence (RMB),,利潤,"AR
(RMB）",預計貨量,預計營收,預計成本,,,,,,,,
GuangxiHechi40'HQDRY - SOC,Guangxi,Hechi,广西,河池,40'HQ,DRY - SOC,,9400,DRY - SOC（自备柜）,华南 - 许建生,8820,4,7520,8820,,8820,4,8820,蔡焱南,580,0.06170212765957447,9588,,,,,0.020000000000000018,9588,,,,,,,,,,,
HebeiHejian3TDRY,Hebei,Hejian,河北,河间,3T,DRY,1,3450,,京津-張學煜,2980,2,2760,2980,,2980,2,2980,蔡焱南,470,0.13623188405797101,3450,,,,,0,3450,,,,,,,,,,,
HebeiHejian5TDRY,Hebei,Hejian,河北,河间,5T,DRY,1,5800,,京津-張學煜,3975,2,3886,3975,,3975,2,3975,蔡焱南,1825,0.3146551724137931,5800,,,,,0,5800,,,,,,,,,,,
HebeiHejian8TDRY,Hebei,Hejian,河北,河间,8T,DRY,1,6200,,京津-張學煜,4410,2,4410,4410,,4635,2,4410,蔡焱南,1790,0.2887096774193548,6200,,,,,0,6200,,,,,,,,,,,
HebeiHejian10TDRY,Hebei,Hejian,河北,河间,10T,DRY,1,6800,,京津-張學煜,5080,2,5080,5080,,5080,2,5080,蔡焱南,1720,0.2529411764705882,6800,,,,,0,6800,,,,,,,,,,,
HebeiHejian12TDRY,Hebei,Hejian,河北,河间,12T,DRY,1,7000,,京津-張學煜,5515,2,5250,5515,,5515,2,5515,蔡焱南,1485,0.21214285714285713,7000,,,,,0,7000,,,,,,,,,,,
HebeiHejian20'GPDRY - SOC,Hebei,Hejian,河北,河间,20'GP,DRY - SOC,1,8700,,京津-張學煜,4410,2,4410,4410,,5080,2,4410,蔡焱南,4290,0.49310344827586206,8700,,,,,0,8700,,,,,,,,,,,
HebeiHejian25TDRY,Hebei,Hejian,河北,河间,25T,DRY,1,8500,,京津-張學煜,7035,2,7035,7035,,7390,2,7035,蔡焱南,1465,0.1723529411764706,8500,,,,,0,8500,,,,,,,,,,,
HebeiHejian26TDRY,Hebei,Hejian,河北,河间,26T,DRY,1,9000,,京津-張學煜,7350,2,7350,7350,,7720,2,7350,蔡焱南,1650,0.18333333333333332,9000,,,,,0,9000,,,,,,,,,,,
GuangdongHeyuan5TDRY,Guangdong,Heyuan,广东,河源,5T,DRY,,4700,,华南 - 许建生,3310,3,3290,3310,,3310,3,3310,蔡焱南,1390,0.2957446808510638,4700,,,,,0,4700,,,,,,,,,,,
GuangdongHeyuan8TDRY,Guangdong,Heyuan,广东,河源,8T,DRY,,4800,,华南 - 许建生,3425,3,3360,3425,,3425,3,3425,蔡焱南,1375,0.2864583333333333,4800,,,,,0,4800,,,,,,,,,,,
GuangdongHeyuan12TDRY,Guangdong,Heyuan,广东,河源,12T,DRY,,5000,,华南 - 许建生,4400,3,4000,4400,,4400,3,4400,蔡焱南,600,0.12,5000,,,,,0,5000,,,,,,,,,,,
GuangdongHeyuan15TDRY,Guangdong,Heyuan,广东,河源,15T,DRY,,5100,,华南 - 许建生,4410,3,4080,4410,,4410,3,4410,蔡焱南,690,0.13529411764705881,5100,,,,,0,5100,,,,,,,,,,,
GuangdongHeyuan25TDRY,Guangdong,Heyuan,广东,河源,25T,DRY,,7400,,华南 - 许建生,6065,3,5920,6065,,6065,3,6065,蔡焱南,1335,0.1804054054054054,7400,,,,,0,7400,,,,,,,,,,,
GuangdongHeyuan20'GPDRY - SOC,Guangdong,Heyuan,广东,河源,20'GP,DRY - SOC,,5100,DRY - SOC（8T车代替）,华南 - 许建生,4195,3,3360,4195,,4195,3,4195,蔡焱南,905,0.17745098039215687,5100,,,,,0,5100,,,,,,,,,,,
GuangdongHeyuan40’HQDRY - SOC,Guangdong,Heyuan,广东,河源,40’HQ,DRY - SOC,,6900,DRY - SOC（自备柜）,华南 - 许建生,6065,3,5520,6065,,6065,3,6065,蔡焱南,835,0.12101449275362319,6900,,,,,0,6900,,,,,,,,,,,
GuangdongHuizhou10TDRY,Guangdong,Huizhou,广东,惠州,10T,DRY,,5300,,华南 - 许建生,4410,3,4240,4410,,4410,3,4410,蔡焱南,890,0.16792452830188678,5300,,,,,0,5300,,,,,,,,,,,
GuangdongHuizhou20'GPDRY - SOC,Guangdong,Huizhou,广东,惠州,20'GP,DRY - SOC,,5100,DRY - SOC（8T车代替）,华南 - 许建生,4410,3,4080,4410,,4410,3,4410,蔡焱南,690,0.13529411764705881,5100,,,,,0,5100,,,,,,,,,,,
GuangdongHuizhou25TDRY,Guangdong,Huizhou,广东,惠州,25T,DRY,,7700,,华南 - 许建生,6065,3,5775,6065,,6065,3,6065,蔡焱南,1635,0.21233766233766233,7700,,,,,0,7700,,,,,,,,,,,
ZhejiangHuzhou20'GPDRY - SOC,Zhejiang,Huzhou,浙江,湖州,20'GP,DRY - SOC,1,1250,,华东-孙理想,1330,1,1250,1330,,1330,1,1250,總部產品,-80,-0.064,1275,,,,,0.020000000000000018,1275,,,,,,,,,,,
ZhejiangHuzhou10TDRY,Zhejiang,Huzhou,浙江,湖州,10T,DRY,1,1300,,华东-孙理想,1330,1,1300,1330,,1330,1,1300,總部產品,-30,-0.023076923076923078,1326,,,,,0.020000000000000018,1326,,,,,,,,,,,
ZhejiangHuzhou12TDRY,Zhejiang,Huzhou,浙江,湖州,12T,DRY,1,1350,,华东-孙理想,1440,1,1350,1440,,1440,1,1350,總部產品,-90,-0.06666666666666667,1431,,,,,0.06000000000000005,1431,11,15741,14850,,,,,,,,
ZhejiangHuzhou15TDRY,Zhejiang,Huzhou,浙江,湖州,15T,DRY,1,1450,,华东-孙理想,1470,1,1470,1470,,1655,1,1450,總部產品,-20,-0.013793103448275862,1479,,,,,0.020000000000000018,1479,4,5916,5800,,,,,,,,
GuangdongJiangmen5TDRY,Guangdong,Jiangmen,广东,江门,5T,DRY,,5200,,华南 - 许建生,4025,3,3900,4025,,4025,3,4025,蔡焱南,1175,0.22596153846153846,5200,,,,,0,5200,,,,,,,,,,,
GuangdongJiangmen8TDRY,Guangdong,Jiangmen,广东,江门,8T,DRY,,5300,,华南 - 许建生,4085,3,3975,4085,,4085,3,4085,蔡焱南,1215,0.22924528301886793,5300,,,,,0,5300,,,,,,,,,,,
GuangdongJiangmen10TDRY,Guangdong,Jiangmen,广东,江门,10T,DRY,,5600,,华南 - 许建生,4965,3,4480,4965,,4965,3,4965,蔡焱南,635,0.11339285714285714,5600,,,,,0,5600,,,,,,,,,,,
GuangdongJiangmen12TDRY,Guangdong,Jiangmen,广东,江门,12T,DRY,,5700,,华南 - 许建生,5080,3,4560,5080,,5080,3,5080,蔡焱南,620,0.10877192982456141,5700,,,,,0,5700,,,,,,,,,,,
GuangdongJiangmen15TDRY,Guangdong,Jiangmen,广东,江门,15T,DRY,,5800,,华南 - 许建生,5080,3,4640,5080,,5080,3,5080,蔡焱南,720,0.12413793103448276,5800,,,,,0,5800,,,,,,,,,,,
GuangdongJiangmen25TDRY,Guangdong,Jiangmen,广东,江门,25T,DRY,,8200,,华南 - 许建生,6840,3,6560,6840,,6840,3,6840,蔡焱南,1360,0.16585365853658537,8200,,,,,0,8200,,,,,,,,,,,
GuangdongJiangmen26TDRY,Guangdong,Jiangmen,广东,江门,26T,DRY,,8300,,华南 - 许建生,6840,3,6640,6840,,6840,3,6840,蔡焱南,1460,0.17590361445783131,8300,,,,,0,8300,,,,,,,,,,,
GuangdongJiangmen20'GPDRY - SOC,Guangdong,Jiangmen,广东,江门,20'GP,DRY - SOC,,5300,DRY - SOC（8T车代替）,华南 - 许建生,4965,3,3975,4965,,4965,3,4965,蔡焱南,335,0.06320754716981132,5406,,,,,0.020000000000000018,5406,,,,,,,,,,,
GuangdongJiangmen40’HQDRY - SOC,Guangdong,Jiangmen,广东,江门,40’HQ,DRY - SOC,,7400,DRY - SOC（自备柜）,华南 - 许建生,6950,3,5920,6950,,6950,3,6950,蔡焱南,450,0.060810810810810814,7548,,,,,0.020000000000000018,7548,,,,,,,,,,,
JiangsuLianyungang3TDRY,Jiangsu,Lianyungang,江苏,连云港,3T,DRY,1,1750,,华东-孙理想,1260,1,1312.5,1260,995,995,1,995,王峰,490,0.28,1750,,,,,0,1750,,,,,,,,,,,
JiangsuLianyungang12TDRY,Jiangsu,Lianyungang,江苏,连云港,12T,DRY,1,3300,,华东-孙理想,2625,1,2835,2625,1770,1770,1,1770,王峰,675,0.20454545454545456,3300,,,,,0,3300,,,,,,,,,,,
JiangsuLianyungang15TDRY,Jiangsu,Lianyungang,江苏,连云港,15T,DRY,1,3450,,华东-孙理想,3045,1,1725,3045,,1770,1,1770,王峰,405,0.11739130434782609,3450,,,,,0,3450,,,,,,,,,,,
JiangsuLianyungang26TDRY,Jiangsu,Lianyungang,江苏,连云港,26T,DRY,1,4650,,华东-孙理想,3885,1,2320,3885,,2320,1,2320,王峰,765,0.16451612903225807,4650,,,,,0,4650,,,,,,,,,,,
JiangsuLianyungang20'GPDRY - SOC,Jiangsu,Lianyungang,江苏,连云港,20'GP,DRY - SOC,1,3000,,华东-孙理想,2310,1,1500,2310,,1545,1,1545,王峰,690,0.23,3000,,,,,0,3000,,,,,,,,,,,
JiangsuLianyungang40‘HQDRY - SOC,Jiangsu,Lianyungang,江苏,连云港,40‘HQ,DRY - SOC,1,4500,,华东-孙理想,3885,1,2205,3885,,2205,1,2205,王峰,615,0.13666666666666666,4500,,,,,0,4500,,,,,,,,,,,
JiangxiNanchang3TDRY,Jiangxi,Nanchang,江西,南昌,3T,DRY,,2400,,华中-王莲花,1770,2,1770,1770,,1770,2,1770,蔡焱南,630,0.2625,2400,,,,,0,2400,,,,,,,,,,,
JiangxiNanchang5TDRY,Jiangxi,Nanchang,江西,南昌,5T,DRY,,3300,,华中-王莲花,2540,2,2475,2540,,2540,2,2540,蔡焱南,760,0.23030303030303031,3300,,,,,0,3300,,,,,,,,,,,
JiangxiNanchang8TDRY,Jiangxi,Nanchang,江西,南昌,8T,DRY,,3600,,华中-王莲花,2760,2,2700,2760,,2760,2,2760,蔡焱南,840,0.23333333333333334,3600,,,,,0,3600,,,,,,,,,,,
JiangxiNanchang10TDRY,Jiangxi,Nanchang,江西,南昌,10T,DRY,,3800,,华中-王莲花,2940,2,2940,2940,,3035,2,2940,蔡焱南,860,0.22631578947368422,3800,,,,,0,3800,,,,,,,,,,,
JiangxiNanchang12TDRY,Jiangxi,Nanchang,江西,南昌,12T,DRY,,4300,,华中-王莲花,3310,2,3225,3310,,3310,2,3310,蔡焱南,990,0.2302325581395349,4300,,,,,0,4300,,,,,,,,,,,
JiangxiNanchang15TDRY,Jiangxi,Nanchang,江西,南昌,15T,DRY,,4700,,华中-王莲花,3535,2,3525,3535,,3535,2,3535,蔡焱南,1165,0.2478723404255319,4700,,,,,0,4700,,,,,,,,,,,
JiangxiNanchang25TDRY,Jiangxi,Nanchang,江西,南昌,25T,DRY,,6700,,华中-王莲花,4910,2,4690,4910,,4910,2,4910,蔡焱南,1790,0.2671641791044776,6700,,,,,0,6700,,,,,,,,,,,
JiangxiNanchang26TDRY,Jiangxi,Nanchang,江西,南昌,26T,DRY,,6700,,华中-王莲花,4965,2,4690,4965,,4965,2,4965,蔡焱南,1735,0.258955223880597,6700,,,,,0,6700,,,,,,,,,,,
JiangxiNanchang20'GPDRY - SOC,Jiangxi,Nanchang,江西,南昌,20'GP,DRY - SOC,,5800,,华中-王莲花,2940,2,2940,2940,,3035,2,2940,蔡焱南,2860,0.49310344827586206,5800,,,,,0,5800,,,,,,,,,,,
JiangxiNanchang40’HQDRY - SOC,Jiangxi,Nanchang,江西,南昌,40’HQ,DRY - SOC,,6200,,华中-王莲花,4910,2,4650,4910,,4910,2,4910,蔡焱南,1290,0.20806451612903226,6200,,,,,0,6200,,,,,,,,,,,
ZhejiangNingbo8TDRY,Zhejiang,Ningbo,浙江,宁波,8T,DRY,1,1450,,华东-孙理想,1105,1,1087.5,1105,,1105,1,1105,蔡焱南,345,0.23793103448275862,1450,,,,,0,1450,,,,,,,,,,,
ZhejiangNingbo10TDRY,Zhejiang,Ningbo,浙江,宁波,10T,DRY,1,1550,,华东-孙理想,1220,1,1162.5,1220,,1220,1,1220,蔡焱南,330,0.2129032258064516,1550,,,,,0,1550,,,,,,,,,,,
ZhejiangNingbo15TDRY,Zhejiang,Ningbo,浙江,宁波,15T,DRY,1,1750,,华东-孙理想,1440,1,1400,1440,,1440,1,1440,蔡焱南,310,0.17714285714285713,1750,,,,,0,1750,,,,,,,,,,,
ZhejiangNingbo25TDRY,Zhejiang,Ningbo,浙江,宁波,25T,DRY,1,1950,,华东-孙理想,1680,1,1680,1680,,1770,1,1680,蔡焱南,270,0.13846153846153847,1950,,,,,0,1950,,,,,,,,,,,
ZhejiangNingbo26TDRY,Zhejiang,Ningbo,浙江,宁波,26T,DRY,1,2050,,华东-孙理想,1785,1,1785,1785,,1770,1,1770,王峰,265,0.12926829268292683,2050,,,,,0,2050,,,,,,,,,,,
ZhejiangNingbo20'GPDRY - SOC,Zhejiang,Ningbo,浙江,宁波,20'GP,DRY - SOC,1,1450,,华东-孙理想,1330,1,1087.5,1330,,1330,1,1330,蔡焱南,120,0.08275862068965517,1450,,,,,0,1450,,,,,,,,,,,
ZhejiangNingbo40'HQDRY - SOC,Zhejiang,Ningbo,浙江,宁波,40'HQ,DRY - SOC,1,2200,,华东-孙理想,1655,1,1650,1655,,1655,1,1655,蔡焱南,545,0.24772727272727274,2200,,,,,0,2200,,,,,,,,,,,
ZhejiangPinghu10TDRY,Zhejiang,Pinghu,浙江,平湖,10T,DRY,1,850,,华东-孙理想,735,1,735,735,,830,1,735,蔡焱南,115,0.13529411764705881,850,,,,,0,850,,,,,,,,,,,
ZhejiangPinghu12TDRY,Zhejiang,Pinghu,浙江,平湖,12T,DRY,1,900,,华东-孙理想,945,1,900,945,,945,1,900,總部產品,-45,-0.05,918,,,,,0.020000000000000018,918,,,,,,,,,,,
ZhejiangPinghu15TDRY,Zhejiang,Pinghu,浙江,平湖,15T,DRY,1,950,,华东-孙理想,1010,1,1008,1010,,1105,1,950,總部產品,-60,-0.06315789473684211,969,,,,,0.020000000000000018,969,,,,,,,,,,,
ZhejiangPinghu26TDRY,Zhejiang,Pinghu,浙江,平湖,26T,DRY,1,1350,,华东-孙理想,1440,1,1350,1440,,1440,1,1350,總部產品,-90,-0.06666666666666667,1431,,,,,0.06000000000000005,1431,,,,,,,,,,,
ZhejiangPinghu20'GPDRY - SOC,Zhejiang,Pinghu,浙江,平湖,20'GP,DRY - SOC,1,800,,华东-孙理想,1105,1,800,1105,,1105,1,800,總部產品,-305,-0.38125,848,,,,,0.06000000000000005,848,,,,,,,,,,,
ZhejiangPinghu40'HQDRY - SOC,Zhejiang,Pinghu,浙江,平湖,40'HQ,DRY - SOC,1,1350,,华东-孙理想,1440,1,1350,1440,,1440,1,1350,蔡焱南,-90,-0.06666666666666667,1431,,,,,0.06000000000000005,1431,,,,,,,,,,,
GuangxiPubei20'GPDRY - SOC,Guangxi,Pubei,广西,浦北县,20'GP,DRY - SOC,,7100,DRY - SOC（8T车代替）,华南 - 许建生,5955,4,4615,5955,,5955,4,5955,蔡焱南,1145,0.16126760563380282,7100,,,,,0,7100,,,,,,,,,,,
GuangxiPubei3TDRY,Guangxi,Pubei,广西,浦北县,3T,DRY,,5000,,华南 - 许建生,3860,4,3750,3860,,3860,4,3860,蔡焱南,1140,0.228,5000,,,,,0,5000,,,,,,,,,,,
GuangxiPubei5TDRY,Guangxi,Pubei,广西,浦北县,5T,DRY,,7000,,华南 - 许建生,4410,4,4200,4410,,4410,4,4410,蔡焱南,2590,0.37,7000,,,,,0,7000,,,,,,,,,,,
GuangxiPubei8TDRY,Guangxi,Pubei,广西,浦北县,8T,DRY,,7100,,华南 - 许建生,4745,4,4615,4745,,4745,4,4745,蔡焱南,2355,0.3316901408450704,7100,,,,,0,7100,,,,,,,,,,,
GuangxiPubei25TDRY,Guangxi,Pubei,广西,浦北县,25T,DRY,,10000,,华南 - 许建生,8820,4,8000,8820,,8820,4,8820,蔡焱南,1180,0.118,10000,,,,,0,10000,2,20000,20000,,,,,,,,
ShandongQingdao15TDRY,Shandong,Qingdao,山东,青岛,15T,DRY,1,4600,,京津-張學煜,4095,2,4095,4095,,4525,2,4095,蔡焱南,505,0.10978260869565218,4600,,,,,0,4600,,,,,,,,,,,
ShandongQingdao25TDRY,Shandong,Qingdao,山东,青岛,25T,DRY,1,5400,,京津-張學煜,5740,2,5400,5740,,5740,2,5400,蔡焱南,-340,-0.06296296296296296,5508,,,,,0.020000000000000018,5508,,,,,,,,,,,
ShandongQingdao26TDRY,Shandong,Qingdao,山东,青岛,26T,DRY,1,5400,,京津-張學煜,6065,2,5400,6065,,6065,2,5400,蔡焱南,-665,-0.12314814814814815,5724,,,,,0.06000000000000005,5724,,,,,,,,,,,
ShandongQingdao20'GPDRY - SOC,Shandong,Qingdao,山东,青岛,20'GP,DRY - SOC,1,5700,,京津-張學煜,3535,2,3420,3535,,3535,2,3535,蔡焱南,2165,0.3798245614035088,5700,,,,,0,5700,,,,,,,,,,,
ShandongQingdao40'HQDRY - SOC,Shandong,Qingdao,山东,青岛,40'HQ,DRY - SOC,1,5800,,京津-張學煜,5145,2,5145,5145,,5740,2,5145,蔡焱南,655,0.11293103448275862,5800,,,,,0,5800,,,,,,,,,,,
GuangxiQinzhou20'GPDRY - SOC,Guangxi,Qinzhou,广西,钦州,20'GP,DRY - SOC,,7100,DRY - SOC（8T车代替）,华南 - 许建生,6290,4,5680,6290,,6290,4,6290,蔡焱南,810,0.11408450704225352,7100,,,,,0,7100,,,,,,,,,,,
GuangxiQinzhou3TDRY,Guangxi,Qinzhou,广西,钦州,3T,DRY,,5000,,华南 - 许建生,4085,4,4000,4085,,4085,4,4085,蔡焱南,915,0.183,5000,,,,,0,5000,,,,,,,,,,,
GuangxiQinzhou25TDRY,Guangxi,Qinzhou,广西,钦州,25T,DRY,,10000,,华南 - 许建生,8820,4,8000,8820,,8820,4,8820,蔡焱南,1180,0.118,10000,,,,,0,10000,,,,,,,,,,,
FujianQuanzhou20'GPDRY - SOC,Fujian,Quanzhou,福建,泉州,20'GP,DRY - SOC,,4000,DRY - SOC（8T车代替）,华南 - 许建生,3535,2,3200,3535,,3535,2,3535,蔡焱南,465,0.11625,4000,,,,,0,4000,,,,,,,,,,,
FujianQuanzhou3TDRY,Fujian,Quanzhou,福建,泉州,3T,DRY,,2950,,华南 - 许建生,2205,2,2205,2205,,2205,2,2205,蔡焱南,745,0.25254237288135595,2950,,,,,0,2950,,,,,,,,,,,
FujianQuanzhou12TDRY,Fujian,Quanzhou,福建,泉州,12T,DRY,,4600,,华南 - 许建生,3860,2,3680,3860,,3860,2,3860,蔡焱南,740,0.1608695652173913,4600,,,,,0,4600,,,,,,,,,,,
ShanghaiShanghai20'GPDRY - SOC,Shanghai,Shanghai,上海,上海,20'GP,DRY - SOC,1,500,,华东-孙理想,720,1,500,720,,720,1,500,蔡焱南,-220,-0.44,530,,,,,0.06000000000000005,530,,,,,,,,,,,
ShanghaiShanghai12TDRY,Shanghai,Shanghai,上海,上海,12T,DRY,1,600,,华东-孙理想,830,1,600,830,,830,1,600,蔡焱南,-230,-0.38333333333333336,636,,,,,0.06000000000000005,636,,,,,,,,,,,
ShanghaiShanghai15TDRY,Shanghai,Shanghai,上海,上海,15T,DRY,1,650,,华东-孙理想,885,1,650,885,,885,1,650,蔡焱南,-235,-0.36153846153846153,689,,,,,0.06000000000000005,689,,,,,,,,,,,
ShanghaiShanghai26TDRY,Shanghai,Shanghai,上海,上海,26T,DRY,1,1100,,华东-孙理想,1220,1,1100,1220,,1220,1,1100,蔡焱南,-120,-0.10909090909090909,1166,,,,,0.06000000000000005,1166,,,,,,,,,,,
GuangdongShantou8TDRY,Guangdong,Shantou,广东,汕头,8T,DRY,,4300,,华南 - 许建生,3535,3,3440,3535,,3535,3,3535,蔡焱南,765,0.17790697674418604,4300,,,,,0,4300,,,,,,,,,,,
GuangdongShantou12TDRY,Guangdong,Shantou,广东,汕头,12T,DRY,,4500,,华南 - 许建生,4410,3,3600,4410,,4410,3,4410,蔡焱南,90,0.02,4590,,,,,0.020000000000000018,4590,,,,,,,,,,,
GuangdongShantou15TDRY,Guangdong,Shantou,广东,汕头,15T,DRY,,4600,,华南 - 许建生,4525,3,3680,4525,,4525,3,4525,蔡焱南,75,0.016304347826086956,4692,,,,,0.020000000000000018,4692,,,,,,,,,,,
GuangdongShantou20'GPDRY - SOC,Guangdong,Shantou,广东,汕头,20'GP,DRY - SOC,,4300,DRY - SOC（8T车代替）,华南 - 许建生,4250,3,3440,4250,,4250,3,4250,蔡焱南,50,0.011627906976744186,4386,,,,,0.020000000000000018,4386,,,,,,,,,,,
GuangdongShantou25TDRY,Guangdong,Shantou,广东,汕头,25T,DRY,,7300,,华南 - 许建生,5740,3,5475,5740,,5740,3,5740,蔡焱南,1560,0.2136986301369863,7300,,,,,0,7300,,,,,,,,,,,
GuangdongShantou26TDRY,Guangdong,Shantou,广东,汕头,26T,DRY,,7400,,华南 - 许建生,5740,3,5550,5740,,5740,3,5740,蔡焱南,1660,0.22432432432432434,7400,,,,,0,7400,,,,,,,,,,,
GuangdongShenzhen20'GPDRY - SOC,Guangdong,Shenzhen,广东,深圳,20'GP,DRY - SOC,,5100,DRY - SOC（8T车代替）,华南 - 许建生,4635,3,4080,4635,,4635,3,4635,蔡焱南,465,0.09117647058823529,5100,,,,,0,5100,,,,,,,,,,,
FujianShishi10TDRY,Fujian,Shishi,福建,石狮,10T,DRY,,4500,,华南 - 许建生,3585,2,3375,3585,,3585,2,3585,蔡焱南,915,0.20333333333333334,4500,,,,,0,4500,,,,,,,,,,,
FujianShishi12TDRY,Fujian,Shishi,福建,石狮,12T,DRY,,4600,,华南 - 许建生,3585,2,3450,3585,,3585,2,3585,蔡焱南,1015,0.22065217391304348,4600,,,,,0,4600,,,,,,,,,,,
FujianShishi15TDRY,Fujian,Shishi,福建,石狮,15T,DRY,,4700,,华南 - 许建生,3860,2,3760,3860,,3860,2,3860,蔡焱南,840,0.17872340425531916,4700,,,,,0,4700,,,,,,,,,,,
FujianShishi25TDRY,Fujian,Shishi,福建,石狮,25T,DRY,,6800,,华南 - 许建生,5080,2,5080,5080,,5080,2,5080,蔡焱南,1720,0.2529411764705882,6800,,,,,0,6800,,,,,,,,,,,
FujianShishi26TDRY,Fujian,Shishi,福建,石狮,26T,DRY,,6900,,华南 - 许建生,5295,2,5175,5295,,5295,2,5295,蔡焱南,1605,0.2326086956521739,6900,,,,,0,6900,,,,,,,,,,,
FujianShishi20'GPDRY - SOC,Fujian,Shishi,福建,石狮,20'GP,DRY - SOC,,4000,DRY - SOC（8T车代替）,华南 - 许建生,3585,2,3200,3585,,3585,2,3585,蔡焱南,415,0.10375,4000,,,,,0,4000,,,,,,,,,,,
FujianShishi40'HQDRY - SOC,Fujian,Shishi,福建,石狮,40'HQ,DRY - SOC,,6250,DRY - SOC（自备柜）,华南 - 许建生,5080,2,5000,5080,,5080,2,5080,蔡焱南,1170,0.1872,6250,,,,,0,6250,,,,,,,,,,,
JiangsuSuqian3TDRY,Jiangsu,Suqian,江苏,宿迁,3T,DRY,1,1750,,华东-孙理想,2205,1,1750,2205,,2205,1,1750,蔡焱南,-455,-0.26,1855,,,,,0.06000000000000005,1855,,,,,,,,,,,
JiangsuSuqian5TDRY,Jiangsu,Suqian,江苏,宿迁,5T,DRY,1,2850,,华东-孙理想,2025,1,2021.25,2025,1545,1545,1,1545,王峰,825,0.2894736842105263,2850,,,,,0,2850,,,,,,,,,,,
JiangsuSuqian12TDRY,Jiangsu,Suqian,江苏,宿迁,12T,DRY,1,3300,,华东-孙理想,2835,1,2835,2835,,3200,1,2835,蔡焱南,465,0.1409090909090909,3300,,,,,0,3300,,,,,,,,,,,
JiangsuSuqian15TDRY,Jiangsu,Suqian,江苏,宿迁,15T,DRY,1,3450,,华东-孙理想,3640,1,3450,3640,,3640,1,3450,蔡焱南,-190,-0.05507246376811594,3519,,,,,0.020000000000000018,3519,,,,,,,,,,,
JiangsuSuqian25TDRY,Jiangsu,Suqian,江苏,宿迁,25T,DRY,1,4350,,华东-孙理想,4050,1,4042.5,4050,,4305,1,4050,蔡焱南,300,0.06896551724137931,4350,,,,,0,4350,,,,,,,,,,,
JiangsuSuqian26TDRY,Jiangsu,Suqian,江苏,宿迁,26T,DRY,1,4650,,华东-孙理想,4100,1,4095,4100,,4525,1,4100,蔡焱南,550,0.11827956989247312,4650,,,,,0,4650,,,,,,,,,,,
JiangsuSuqian20'GPDRY - SOC,Jiangsu,Suqian,江苏,宿迁,20'GP,DRY - SOC,1,3000,,华东-孙理想,2540,1,2400,2540,,2540,1,2540,蔡焱南,460,0.15333333333333332,3000,,,,,0,3000,,,,,,,,,,,
JiangsuSuqian40'HQDRY - SOC,Jiangsu,Suqian,江苏,宿迁,40'HQ,DRY - SOC,1,4500,,华东-孙理想,4095,1,4095,4095,,4305,1,4095,蔡焱南,405,0.09,4500,,,,,0,4500,,,,,,,,,,,
JiangsuSuzhou20'GPDRY - SOC,Jiangsu,Suzhou,江苏,苏州,20'GP,DRY - SOC,1,900,,华东-孙理想,1105,1,900,1105,,1105,1,900,蔡焱南,-205,-0.22777777777777777,954,,,,,0.06000000000000005,954,,,,,,,,,,,
ShandongTai'An8TDRY,Shandong,Tai'An,山东,泰安,8T,DRY,1,3200,,京津-張學煜,3255,2,3255,3255,,3535,2,3200,總部產品,-55,-0.0171875,3264,,,,,0.020000000000000018,3264,,,,,,,,,,,
ShandongTai'An10TDRY,Shandong,Tai'An,山东,泰安,10T,DRY,1,3600,,京津-張學煜,3750,2,3600,3750,,3750,2,3600,蔡焱南,-150,-0.041666666666666664,3672,,,,,0.020000000000000018,3672,,,,,,,,,,,
ShandongTai'An12TDRY,Shandong,Tai'An,山东,泰安,12T,DRY,1,3900,,京津-張學煜,4410,2,3900,4410,,4410,2,3900,蔡焱南,-510,-0.13076923076923078,4134,,,,,0.06000000000000005,4134,,,,,,,,,,,
ShandongTai'An15TDRY,Shandong,Tai'An,山东,泰安,15T,DRY,1,4300,,京津-張學煜,4515,2,4515,4515,4300,4855,2,4300,總部產品,-215,-0.05,4386,,,,,0.020000000000000018,4386,,,,,,,,,,,
ShandongTai'An25TDRY,Shandong,Tai'An,山东,泰安,25T,DRY,1,5200,,京津-張學煜,5460,2,5460,5460,5200,5845,2,5200,總部產品,-260,-0.05,5304,,,,,0.020000000000000018,5304,,,,,,,,,,,
ShandongTai'An26TDRY,Shandong,Tai'An,山东,泰安,26T,DRY,1,5400,,京津-張學煜,5565,2,5565,5565,5400,6290,2,5400,總部產品,-165,-0.030555555555555555,5508,,,,,0.020000000000000018,5508,,,,,,,,,,,
ShandongTai'An20'GPDRY - SOC,Shandong,Tai'An,山东,泰安,20'GP,DRY - SOC,1,5700,,京津-張學煜,3255,2,3255,3255,,3750,2,3255,蔡焱南,2445,0.42894736842105263,5700,,,,,0,5700,,,,,,,,,,,
ShandongTai'An40'HQDRY - SOC,Shandong,Tai'An,山东,泰安,40'HQ,DRY - SOC,1,5800,,京津-張學煜,5845,2,5800,5845,,5845,2,5800,蔡焱南,-45,-0.007758620689655172,5916,,,,,0.020000000000000018,5916,,,,,,,,,,,
ShandongWeihai5TDRY,Shandong,Weihai,山东,威海,5T,DRY,1,4100,,京津-張學煜,3465,2,3465,3465,,3535,2,3465,蔡焱南,635,0.1548780487804878,4100,,,,,0,4100,,,,,,,,,,,
