(不含提货日)",價格,比對結果,I-L欄,(I-L)/I,AR,,Accessorial Description,Accessorial Charge per Occurrence (RMB),,利潤,"AR
(RMB）",預計貨量,預計營收,預計成本,,,,,,,,
GuangdongDongguan12TDRY,Guangdong,Dongguan,广东,东莞,12T,DRY,,5400,,华南 - 许建生,5080,3,4320,5080,,5080,3,5080,蔡焱南,320,0.05925925925925926,5508,,,,,0.020000000000000018,5508,,,,,,,,,,,
GuangdongDongguan15TDRY,Guangdong,Dongguan,广东,东莞,15T,DRY,,5500,,华南 - 许建生,5295,3,4400,5295,,5295,3,5295,蔡焱南,205,0.03727272727272727,5610,,,,,0.020000000000000018,5610,,,,,,,,,,,
GuangdongDongguan25TDRY,Guangdong,Dongguan,广东,东莞,25T,DRY,,7700,,华南 - 许建生,6615,3,6160,6615,,6615,3,6615,蔡焱南,1085,0.1409090909090909,7700,,,,,0,7700,157,1208900,1208900,,,,,,,,
GuangdongDongguan26TDRY,Guangdong,Dongguan,广东,东莞,26T,DRY,,7800,,华南 - 许建生,6615,3,6240,6615,,6615,3,6615,蔡焱南,1185,0.1519230769230769,7800,,,,,0,7800,,,,,,,,,,,
GuangdongDongguan3TDRY,Guangdong,Dongguan,广东,东莞,3T,DRY,,3800,,华南 - 许建生,3310,3,3040,3310,,3310,3,3310,蔡焱南,490,0.12894736842105264,3800,,,,,0,3800,,,,,,,,,,,
GuangdongDongguan5TDRY,Guangdong,Dongguan,广东,东莞,5T,DRY,,4800,,华南 - 许建生,3975,3,3840,3975,,3975,3,3975,蔡焱南,825,0.171875,4800,,,,,0,4800,,,,,,,,,,,
GuangdongDongguan8TDRY,Guangdong,Dongguan,广东,东莞,8T,DRY,,4900,,华南 - 许建生,4085,3,3920,4085,,4085,3,4085,蔡焱南,815,0.1663265306122449,4900,,,,,0,4900,,,,,,,,,,,
GuangdongDongguanDG_3THAZMAT,Guangdong,Dongguan,广东,东莞,DG_3T,HAZMAT,,,HAZMAT（危险品9类）,华南 - 许建生,,0,0,0,,0,0,0,總部產品,,,,,,,,,,,,,,,,,,,,
GuangdongDongguanDG_8THAZMAT,Guangdong,Dongguan,广东,东莞,DG_8T,HAZMAT,,,HAZMAT（危险品9类）,华南 - 许建生,,0,0,0,,0,0,0,總部產品,,,,,,,,,,,,,,,,,,,,
GuangdongDongguanREF_3TREEFER,Guangdong,Dongguan,广东,东莞,REF_3T,REEFER,,,,华南 - 许建生,,0,0,0,,0,0,0,總部產品,,,,,,,,,,,,,,,,,,,,
GuangdongDongguan40'HQDRY - SOC,Guangdong,Dongguan,广东,东莞,40'HQ,DRY - SOC,,6600,DRY - SOC（自备柜）,华南 - 许建生,6615,3,6600,6615,,6615,3,6600,蔡焱南,-15,-0.0022727272727272726,6732,,,,,0.020000000000000018,6732,15,100980,99000,,,,,,,,
GuangdongFoshan3TDRY,Guangdong,Foshan,广东,佛山,3T,DRY,,3800,,华南 - 许建生,3310,3,3040,3310,,3310,3,3310,蔡焱南,490,0.12894736842105264,3800,,,,,0,3800,,,,,,,,,,,
GuangdongFoshan5TDRY,Guangdong,Foshan,广东,佛山,5T,DRY,,4800,,华南 - 许建生,3975,3,3840,3975,,3975,3,3975,蔡焱南,825,0.171875,4800,,,,,0,4800,2,9600,9600,,,,,,,,
GuangdongFoshanREF_3TREEFER,Guangdong,Foshan,广东,佛山,REF_3T,REEFER,,,,华南 - 许建生,,0,0,0,,0,0,0,總部產品,,,,,,,,,,,,,,,,,,,,
GuangdongFoshanREF_5TREEFER,Guangdong,Foshan,广东,佛山,REF_5T,REEFER,,,,华南 - 许建生,,0,0,0,,0,0,0,總部產品,,,,,,,,,,,,,,,,,,,,
GuangdongHeyuan10TDRY,Guangdong,Heyuan,广东,河源,10T,DRY,,5400,,华南 - 许建生,4195,3,4050,4195,,4195,3,4195,蔡焱南,1205,0.22314814814814815,5400,,,,,0,5400,,,,,,,,,,,
GuangdongHeyuan26TDRY,Guangdong,Heyuan,广东,河源,26T,DRY,,7800,,华南 - 许建生,6065,3,5850,6065,,6065,3,6065,蔡焱南,1735,0.22243589743589742,7800,,,,,0,7800,,,,,,,,,,,
GuangdongHeyuan3TDRY,Guangdong,Heyuan,广东,河源,3T,DRY,,3800,,华南 - 许建生,2875,3,2850,2875,,2875,3,2875,蔡焱南,925,0.24342105263157895,3800,,,,,0,3800,7,26600,26600,,,,,,,,
GuangdongHeyuanDG_5THAZMAT,Guangdong,Heyuan,广东,河源,DG_5T,HAZMAT,,,HAZMAT（危险品9类）,华南 - 许建生,,0,0,0,,0,0,0,總部產品,,,,,,,,,,,,,,,,,,,,
GuangdongHuizhouDG_10THAZMAT,Guangdong,Huizhou,广东,惠州,DG_10T,HAZMAT,,,HAZMAT（危险品9类）,华南 - 许建生,,0,0,0,,0,0,0,總部產品,,,,,,,,,,,,,,,,,,,,
GuangdongHuizhou12TDRY,Guangdong,Huizhou,广东,惠州,12T,DRY,,5400,,华南 - 许建生,4745,3,4320,4745,,4745,3,4745,蔡焱南,655,0.12129629629629629,5400,,,,,0,5400,1,5400,5400,,,,,,,,
GuangdongHuizhou15TDRY,Guangdong,Huizhou,广东,惠州,15T,DRY,,5500,,华南 - 许建生,4965,3,4400,4965,,4965,3,4965,蔡焱南,535,0.09727272727272727,5500,,,,,0,5500,,,,,,,,,,,
GuangdongHuizhou26TDRY,Guangdong,Huizhou,广东,惠州,26T,DRY,,7800,,华南 - 许建生,6065,3,5850,6065,,6065,3,6065,蔡焱南,1735,0.22243589743589742,7800,,,,,0,7800,,,,,,,,,,,
GuangdongHuizhou3TDRY,Guangdong,Huizhou,广东,惠州,3T,DRY,,3800,,华南 - 许建生,2980,3,2850,2980,,2980,3,2980,蔡焱南,820,0.21578947368421053,3800,,,,,0,3800,,,,,,,,,,,
GuangdongHuizhou5TDRY,Guangdong,Huizhou,广东,惠州,5T,DRY,,4800,,华南 - 许建生,3860,3,3840,3860,,3860,3,3860,蔡焱南,940,0.19583333333333333,4800,,,,,0,4800,,,,,,,,,,,
GuangdongHuizhou8TDRY,Guangdong,Huizhou,广东,惠州,8T,DRY,,4900,,华南 - 许建生,3860,3,3675,3860,,3860,3,3860,蔡焱南,1040,0.21224489795918366,4900,,,,,0,4900,,,,,,,,,,,
GuangdongHuizhou40'HQDRY - SOC,Guangdong,Huizhou,广东,惠州,40'HQ,DRY - SOC,,6600,DRY - SOC（自备柜）,华南 - 许建生,6065,3,5280,6065,,6065,3,6065,蔡焱南,535,0.08106060606060606,6600,,,,,0,6600,,,,,,,,,,,
