起运省,起运市,起运区县,目的省,目的市,目的区县,货物名称,运掌柜车长,运掌柜平台车型,状态,错误,基地,本地原始车型,查询起运区县,查询目的区县,查询目的区县来源,查询级别,市场价低,市场价高,市场参考价,距离km,可见样本数
浙江省,嘉兴市,平湖市,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,平湖市,奉贤区,输入区县,区县级,,,,66,0
安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,巢湖市,浦东新区,输入区县,区县级,,,,410,0
安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,巢湖市,奉贤区,输入区县,区县级,,,,413,0
安徽省,滁州市,天长市,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,天长市,浦东新区,输入区县,区县级,,,,332,0
安徽省,滁州市,天长市,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,天长市,奉贤区,输入区县,区县级,,,,351,0
陕西省,安康市,汉滨区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,汉滨区,浦东新区,输入区县,区县级,,,,1385,0
陕西省,安康市,汉滨区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,汉滨区,奉贤区,输入区县,区县级,,,,1384,0
江苏省,常州市,武进区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,武进区,浦东新区,输入区县,区县级,,,,195,0
江苏省,常州市,武进区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,武进区,奉贤区,输入区县,区县级,,,,213,0
江苏省,常州市,武进区,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,武进区,浦东新区,输入区县,区县级,,,,195,0
江苏省,常州市,武进区,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,武进区,奉贤区,输入区县,区县级,,,,213,0
江苏省,常州市,武进区,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,武进区,浦东新区,输入区县,区县级,,,,207,0
江苏省,常州市,武进区,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,武进区,奉贤区,输入区县,区县级,,,,223,0
江苏省,常州市,武进区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,武进区,浦东新区,输入区县,区县级,,,,207,0
江苏省,常州市,武进区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,武进区,奉贤区,输入区县,区县级,,,,223,0
江苏省,常州市,武进区,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,武进区,浦东新区,输入区县,区县级,,,,207,0
江苏省,常州市,武进区,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,武进区,奉贤区,输入区县,区县级,,,,223,0
江苏省,常州市,武进区,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,武进区,浦东新区,输入区县,区县级,,,,207,0
江苏省,常州市,武进区,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,武进区,奉贤区,输入区县,区县级,,,,223,0
江苏省,常州市,武进区,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,武进区,浦东新区,输入区县,区县级,,,,207,0
江苏省,常州市,武进区,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,武进区,奉贤区,输入区县,区县级,,,,223,0
江苏省,常州市,武进区,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,武进区,浦东新区,输入区县,区县级,,,,195,0
江苏省,常州市,武进区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,武进区,奉贤区,输入区县,区县级,,,,213,0
江苏省,常州市,武进区,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,武进区,浦东新区,输入区县,区县级,,,,207,0
江苏省,常州市,武进区,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,武进区,奉贤区,输入区县,区县级,,,,223,0
安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,巢湖市,浦东新区,输入区县,区县级,,,,416,0
安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,巢湖市,奉贤区,输入区县,区县级,,,,425,0
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,苏仙区,浦东新区,输入区县,区县级,,,,1241,0
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,苏仙区,奉贤区,输入区县,区县级,,,,1212,0
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,苏仙区,浦东新区,输入区县,区县级,,,,1241,0
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,苏仙区,奉贤区,输入区县,区县级,,,,1212,0
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,苏仙区,浦东新区,输入区县,区县级,,,,1241,0
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,苏仙区,奉贤区,输入区县,区县级,,,,1212,0
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,苏仙区,浦东新区,输入区县,区县级,,,,1271,0
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,苏仙区,奉贤区,输入区县,区县级,,,,1247,0
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,长安镇,浦东新区,输入区县,区县级,,,,1425,0
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,长安镇,奉贤区,输入区县,区县级,,,,1402,0
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,顺德区,浦东新区,输入区县,区县级,,,,1505,0
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,顺德区,奉贤区,输入区县,区县级,,,,1456,0
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,顺德区,浦东新区,输入区县,区县级,,,,1479,0
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,顺德区,奉贤区,输入区县,区县级,,,,1455,0
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,顺德区,浦东新区,输入区县,区县级,,,,1479,0
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,顺德区,奉贤区,输入区县,区县级,,,,1455,0
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,顺德区,浦东新区,输入区县,区县级,,,,1479,0
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,顺德区,奉贤区,输入区县,区县级,,,,1455,0
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,顺德区,浦东新区,输入区县,区县级,,,,1479,0
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,顺德区,奉贤区,输入区县,区县级,,,,1455,0
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,顺德区,浦东新区,输入区县,区县级,,,,1479,0
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,顺德区,奉贤区,输入区县,区县级,,,,1455,0
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,顺德区,浦东新区,输入区县,区县级,,,,1505,0
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,顺德区,奉贤区,输入区县,区县级,,,,1456,0
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,顺德区,浦东新区,输入区县,区县级,,,,1479,0
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,顺德区,奉贤区,输入区县,区县级,,,,1455,0
江西省,赣州市,南康区,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,南康区,浦东新区,输入区县,区县级,,,,1076,0
江西省,赣州市,南康区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,南康区,奉贤区,输入区县,区县级,,,,1054,0
江西省,赣州市,南康区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,南康区,浦东新区,输入区县,区县级,,,,1076,0
江西省,赣州市,南康区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,南康区,奉贤区,输入区县,区县级,,,,1054,0
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,宜州区,浦东新区,输入区县,区县级,,,,1712,0
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,宜州区,奉贤区,输入区县,区县级,,,,1689,0
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,宜州区,浦东新区,输入区县,区县级,,,,1712,0
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,宜州区,奉贤区,输入区县,区县级,,,,1689,0
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,宜州区,浦东新区,输入区县,区县级,,,,1748,0
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,宜州区,奉贤区,输入区县,区县级,,,,1724,0
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,宜州区,浦东新区,输入区县,区县级,,,,1748,0
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,宜州区,奉贤区,输入区县,区县级,,,,1724,0
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,宜州区,浦东新区,输入区县,区县级,,,,1748,0
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,宜州区,奉贤区,输入区县,区县级,,,,1724,0
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,宜州区,浦东新区,输入区县,区县级,,,,1748,0
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,宜州区,奉贤区,输入区县,区县级,,,,1724,0
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,宜州区,浦东新区,输入区县,区县级,,,,1712,0
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,宜州区,奉贤区,输入区县,区县级,,,,1689,0
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,宜州区,浦东新区,输入区县,区县级,,,,1748,0
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,宜州区,奉贤区,输入区县,区县级,,,,1724,0
