,FULL TRUCK RATES,,,,,,,,,
,Rates to be awarded by MOT. Rates submitted must not be contingent upon bundled award.,,,,,,,,,
,,,,,,,,,,
,Destinations,,,,,,,,,
,"SHDR DC1(Main DC):上海临港新城普洛斯临港物流园洋浩路575号 No.575 Yanghao Road, Pudong New District, Shanghai, China",,,,,,,,,
,"TDSC DC:上海市奉贤区航塘公路3088号C栋3楼DISNEY STORE WAREHOUSE,KERRYEAS SHANGHAI DISTRIBUTION CENTER C3,3088 HANGTANG HIGHWAY,FENGXIAN DISTRICT, SHANGHAI",,,,,,,,,
,Currency :RMB,Exclude VAT ,,,,,,,,
,,,,,,,,,,
,,,,,SHDR DC1/TDSC DC,,,,,
,From Province, From City ,Lorry Size, Temperature ,Transit Days (excluding pick up day),Rate (RMB) Excluding VAT,,,Accessorial Description,Accessorial Charge per Occurrence (RMB)
,Guangdong,Dongguan,20'GP,DRY - SOC,,,,,,
,Guangdong,Foshan,8T,DRY,,,,,,
,Guangdong,Foshan,10T,DRY,,,,,,
,Guangdong,Foshan,12T,DRY,,,,,,
,Guangdong,Foshan,15T,DRY,,,,,,
,Guangdong,Foshan,25T,DRY,,,,,,
,Guangdong,Foshan,26T,DRY,,,,,,
,Guangdong,Foshan,20'GP,DRY - SOC,,,,,,
,Guangdong,Foshan,40'HQ,DRY - SOC,,,,,,
,Jiangxi,Ganzhou,20'GP,DRY - SOC,,,,,,
,Jiangxi,Ganzhou,5T,DRY,,,,,,
,Guangxi,Hechi,3T,DRY,,,,,,
,Guangxi,Hechi,8T,DRY,,,,,,
,Guangxi,Hechi,10T,DRY,,,,,,
,Guangxi,Hechi,12T,DRY,,,,,,
,Guangxi,Hechi,15T,DRY,,,,,,
,Guangxi,Hechi,25T,DRY,,,,,,
,Guangxi,Hechi,20'GP,DRY - SOC,,,,,,
,Guangxi,Hechi,40'HQ,DRY - SOC,,,,,,
,Hebei,Hejian,3T,DRY,,,,,,
,Hebei,Hejian,5T,DRY,,,,,,
,Hebei,Hejian,8T,DRY,,,,,,
,Hebei,Hejian,10T,DRY,,,,,,
,Hebei,Hejian,12T,DRY,,,,,,
,Hebei,Hejian,20'GP,DRY - SOC,,,,,,
,Hebei,Hejian,25T,DRY,,,,,,
,Hebei,Hejian,26T,DRY,,,,,,
,Guangdong,Heyuan,5T,DRY,,,,,,
,Guangdong,Heyuan,8T,DRY,,,,,,
,Guangdong,Heyuan,12T,DRY,,,,,,
,Guangdong,Heyuan,15T,DRY,,,,,,
,Guangdong,Heyuan,25T,DRY,,,,,,
,Guangdong,Heyuan,20'GP,DRY - SOC,,,,,,
,Guangdong,Heyuan,40’HQ,DRY - SOC,,,,,,
,Guangdong,Huizhou,10T,DRY,,,,,,
,Guangdong,Huizhou,20'GP,DRY - SOC,,,,,,
,Guangdong,Huizhou,25T,DRY,,,,,,
,Zhejiang,Huzhou,20'GP,DRY - SOC,,,,,,
,Zhejiang,Huzhou,10T,DRY,,,,,,
,Zhejiang,Huzhou,12T,DRY,,,,,,
,Zhejiang,Huzhou,15T,DRY,,,,,,
,Guangdong,Jiangmen,5T,DRY,,,,,,
,Guangdong,Jiangmen,8T,DRY,,,,,,
,Guangdong,Jiangmen,10T,DRY,,,,,,
,Guangdong,Jiangmen,12T,DRY,,,,,,
,Guangdong,Jiangmen,15T,DRY,,,,,,
,Guangdong,Jiangmen,25T,DRY,,,,,,
,Guangdong,Jiangmen,26T,DRY,,,,,,
,Guangdong,Jiangmen,20'GP,DRY - SOC,,,,,,
,Guangdong,Jiangmen,40’HQ,DRY - SOC,,,,,,
,Jiangsu,Lianyungang,3T,DRY,,,,,,
,Jiangsu,Lianyungang,12T,DRY,,,,,,
,Jiangsu,Lianyungang,15T,DRY,,,,,,
,Jiangsu,Lianyungang,26T,DRY,,,,,,
,Jiangsu,Lianyungang,20'GP,DRY - SOC,,,,,,
,Jiangsu,Lianyungang,40‘HQ,DRY - SOC,,,,,,
,Jiangxi,Nanchang,3T,DRY,,,,,,
,Jiangxi,Nanchang,5T,DRY,,,,,,
,Jiangxi,Nanchang,8T,DRY,,,,,,
,Jiangxi,Nanchang,10T,DRY,,,,,,
,Jiangxi,Nanchang,12T,DRY,,,,,,
,Jiangxi,Nanchang,15T,DRY,,,,,,
,Jiangxi,Nanchang,25T,DRY,,,,,,
,Jiangxi,Nanchang,26T,DRY,,,,,,
,Jiangxi,Nanchang,20'GP,DRY - SOC,,,,,,
,Jiangxi,Nanchang,40’HQ,DRY - SOC,,,,,,
,Zhejiang,Ningbo,8T,DRY,,,,,,
,Zhejiang,Ningbo,10T,DRY,,,,,,
,Zhejiang,Ningbo,15T,DRY,,,,,,
,Zhejiang,Ningbo,25T,DRY,,,,,,
,Zhejiang,Ningbo,26T,DRY,,,,,,
,Zhejiang,Ningbo,20'GP,DRY - SOC,,,,,,
,Zhejiang,Ningbo,40'HQ,DRY - SOC,,,,,,
,Zhejiang,Pinghu,10T,DRY,,,,,,
,Zhejiang,Pinghu,12T,DRY,,,,,,
,Zhejiang,Pinghu,15T,DRY,,,,,,
,Zhejiang,Pinghu,26T,DRY,,,,,,
,Zhejiang,Pinghu,20'GP,DRY - SOC,,,,,,
,Zhejiang,Pinghu,40'HQ,DRY - SOC,,,,,,
,Guangxi,Pubei,20'GP,DRY - SOC,,,,,,
,Guangxi,Pubei,3T,DRY,,,,,,
,Guangxi,Pubei,5T,DRY,,,,,,
,Guangxi,Pubei,8T,DRY,,,,,,
,Guangxi,Pubei,25T,DRY,,,,,,
,Shandong,Qingdao,15T,DRY,,,,,,
,Shandong,Qingdao,25T,DRY,,,,,,
,Shandong,Qingdao,26T,DRY,,,,,,
,Shandong,Qingdao,20'GP,DRY - SOC,,,,,,
,Shandong,Qingdao,40'HQ,DRY - SOC,,,,,,
,Guangxi,Qinzhou,20'GP,DRY - SOC,,,,,,
,Guangxi,Qinzhou,3T,DRY,,,,,,
,Guangxi,Qinzhou,25T,DRY,,,,,,
,Fujian,Quanzhou,20'GP,DRY - SOC,,,,,,
,Fujian,Quanzhou,3T,DRY,,,,,,
,Fujian,Quanzhou,12T,DRY,,,,,,
,Shanghai,Shanghai,20'GP,DRY - SOC,,,,,,
,Shanghai,Shanghai,12T,DRY,,,,,,
,Shanghai,Shanghai,15T,DRY,,,,,,
,Shanghai,Shanghai,26T,DRY,,,,,,
,Guangdong,Shantou,8T,DRY,,,,,,
,Guangdong,Shantou,12T,DRY,,,,,,
,Guangdong,Shantou,15T,DRY,,,,,,
,Guangdong,Shantou,20'GP,DRY - SOC,,,,,,
,Guangdong,Shantou,25T,DRY,,,,,,
,Guangdong,Shantou,26T,DRY,,,,,,
,Guangdong,Shenzhen,20'GP,DRY - SOC,,,,,,
,Fujian,Shishi,10T,DRY,,,,,,
,Fujian,Shishi,12T,DRY,,,,,,
,Fujian,Shishi,15T,DRY,,,,,,
,Fujian,Shishi,25T,DRY,,,,,,
,Fujian,Shishi,26T,DRY,,,,,,
,Fujian,Shishi,20'GP,DRY - SOC,,,,,,
,Fujian,Shishi,40'HQ,DRY - SOC,,,,,,
,Jiangsu,Suqian,3T,DRY,,,,,,
,Jiangsu,Suqian,5T,DRY,,,,,,
,Jiangsu,Suqian,12T,DRY,,,,,,
,Jiangsu,Suqian,15T,DRY,,,,,,
,Jiangsu,Suqian,25T,DRY,,,,,,
,Jiangsu,Suqian,26T,DRY,,,,,,
,Jiangsu,Suqian,20'GP,DRY - SOC,,,,,,
,Jiangsu,Suqian,40'HQ,DRY - SOC,,,,,,
,Jiangsu,Suzhou,20'GP,DRY - SOC,,,,,,
,Shandong,Tai'An,8T,DRY,,,,,,
,Shandong,Tai'An,10T,DRY,,,,,,
,Shandong,Tai'An,12T,DRY,,,,,,
,Shandong,Tai'An,15T,DRY,,,,,,
,Shandong,Tai'An,25T,DRY,,,,,,
,Shandong,Tai'An,26T,DRY,,,,,,
,Shandong,Tai'An,20'GP,DRY - SOC,,,,,,
,Shandong,Tai'An,40'HQ,DRY - SOC,,,,,,
,Shandong,Weihai,5T,DRY,,,,,,
,Shandong,Weihai,8T,DRY,,,,,,
,Shandong,Weihai,10T,DRY,,,,,,
,Shandong,Weihai,12T,DRY,,,,,,
,Shandong,Weihai,15T,DRY,,,,,,
,Shandong,Weihai,25T,DRY,,,,,,
,Shandong,Weihai,26T,DRY,,,,,,
,Shandong,Weihai,20'GP,DRY - SOC,,,,,,
,Shandong,Weihai,40'HQ,DRY - SOC,,,,,,
,Anhui,Xuancheng,10T,DRY,,,,,,
,Anhui,Xuancheng,12T,DRY,,,,,,
,Anhui,Xuancheng,15T,DRY,,,,,,
,Anhui,Xuancheng,25T,DRY,,,,,,
,Anhui,Xuancheng,20'GP,DRY - SOC,,,,,,
,Anhui,Xuancheng,40'HQ,DRY - SOC,,,,,,
,Jiangsu,Yangzhou,3T,DRY,,,,,,
,Jiangsu,Yangzhou,10T,DRY,,,,,,
,Jiangsu,Yangzhou,15T,DRY,,,,,,
,Jiangsu,Yangzhou,25T,DRY,,,,,,
,Jiangsu,Yangzhou,26T,DRY,,,,,,
,Jiangsu,Yangzhou,20'GP,DRY - SOC,,,,,,
,Jiangsu,Yangzhou,40'HQ,DRY - SOC,,,,,,
,Shandong,Yantai,5T,DRY,,,,,,
,Shandong,Yantai,8T,DRY,,,,,,
,Shandong,Yantai,10T,DRY,,,,,,
,Shandong,Yantai,12T,DRY,,,,,,
,Shandong,Yantai,15T,DRY,,,,,,
,Shandong,Yantai,25T,DRY,,,,,,
,Shandong,Yantai,26T,DRY,,,,,,
,Shandong,Yantai,20'GP,DRY - SOC,,,,,,
,Shandong,Yantai,40'HQ,DRY - SOC,,,,,,
,Guangdong,Zhaoqing,3T,DRY,,,,,,
,Guangdong,Zhaoqing,8T,DRY,,,,,,
,Guangdong,Zhaoqing,10T,DRY,,,,,,
,Guangdong,Zhaoqing,12T,DRY,,,,,,
,Guangdong,Zhaoqing,15T,DRY,,,,,,
,Guangdong,Zhaoqing,25T,DRY,,,,,,
,Guangdong,Zhaoqing,26T,DRY,,,,,,
,Guangdong,Zhaoqing,20'GP,DRY - SOC,,,,,,
,Guangdong,Zhaoqing,40'HQ,DRY - SOC,,,,,,
,Guangdong,Zhongshan,20'GP,DRY - SOC,,,,,,
,Guangdong,Zhongshan,5T,DRY,,,,,,
,Guangdong,Zhongshan,8T,DRY,,,,,,
,Guangdong,Zhongshan,25T,DRY,,,,,,
,Guangdong,Zhuhai,5T,DRY,,,,,,
,Guangdong,Zhuhai,8T,DRY,,,,,,
,Guangdong,Zhuhai,10T,DRY,,,,,,
,Guangdong,Zhuhai,12T,DRY,,,,,,
,Guangdong,Zhuhai,15T,DRY,,,,,,
,Guangdong,Zhuhai,20'GP,DRY - SOC,,,,,,
,Guangdong,Zhuhai,25T,DRY,,,,,,
,Guangdong,Zhuhai,26T,DRY,,,,,,
,Hunan,Zixing,3T,DRY,,,,,,
,Hunan,Zixing,5T,DRY,,,,,,
,Hunan,Zixing,10T,DRY,,,,,,
,Hunan,Zixing,15T,DRY,,,,,,
,Hunan,Zixing,25T,DRY,,,,,,
,Hunan,Zixing,26T,DRY,,,,,,
,Hunan,Zixing,20'GP,DRY - SOC,,,,,,
,Hunan,Zixing,40'HQ,DRY - SOC,,,,,,
,Guangxi,Beihai,3T,DRY,,,,,,
,Guangxi,Beihai,5T,DRY,,,,,,
,Guangxi,Beihai,8T,DRY,,,,,,
,Guangxi,Beihai,10T,DRY,,,,,,
,Guangxi,Beihai,12T,DRY,,,,,,
,Guangxi,Beihai,15T,DRY,,,,,,
,Guangxi,Beihai,25T,DRY,,,,,,
,Guangxi,Beihai,26T,DRY,,,,,,
,Guangxi,Beihai,20'GP,DRY - SOC,,,,,,
,Guangxi,Beihai,40'HQ,DRY - SOC,,,,,,
,Zhejiang,Wenzhou,3T,DRY,,,,,,
,Zhejiang,Wenzhou,5T,DRY,,,,,,
,Zhejiang,Wenzhou,8T,DRY,,,,,,
,Zhejiang,Wenzhou,10T,DRY,,,,,,
,Zhejiang,Wenzhou,12T,DRY,,,,,,
,Zhejiang,Wenzhou,15T,DRY,,,,,,
,Zhejiang,Wenzhou,25T,DRY,,,,,,
,Zhejiang,Wenzhou,26T,DRY,,,,,,
,Zhejiang,Wenzhou,20'GP,DRY - SOC,,,,,,
,Zhejiang,Wenzhou,40'HQ,DRY - SOC,,,,,,
